TransactionID,PolicyID,PaymentDate,AmountPaid
T0000166,P000018,2024-10-09,107.16
T0000167,P000018,2024-11-08,107.16
T0000168,P000018,2024-12-08,107.16
T0000169,P000018,2025-01-07,107.16
T0000170,P000018,2025-02-06,107.16
T0000171,P000018,2025-03-08,107.16
T0000172,P000018,2025-04-07,107.16
T0000173,P000018,2025-05-07,107.16
T0000174,P000018,2025-06-06,107.16
T0000175,P000018,2025-07-06,107.16
T0000176,P000018,2025-08-05,107.16
T0000177,P000019,2023-10-19,110.62
T0000178,P000019,2023-11-18,110.62
T0000179,P000019,2023-12-18,110.62
T0000180,P000019,2024-01-17,110.62
T0000181,P000019,2024-02-16,110.62
T0000182,P000019,2024-03-17,110.62
T0000183,P000019,2024-04-16,62.53
T0000184,P000019,2024-05-16,110.62
T0000185,P000019,2024-06-15,110.62
T0000186,P000019,2024-07-15,110.62
T0000187,P000019,2024-08-14,110.62
T0000188,P000019,2024-09-13,110.62
T0000189,P000019,2024-10-13,110.62
T0000190,P000020,2025-02-14,1226.92
T0000191,P000020,2025-03-16,1226.92
T0000192,P000020,2025-04-15,1226.92
T0000193,P000020,2025-05-15,1226.92
T0000194,P000020,2025-06-14,1226.92
T0000195,P000020,2025-07-14,1226.92
T0000196,P000020,2025-08-13,1226.92
T0000197,P000020,2025-09-12,1226.92
T0000198,P000021,2021-04-27,835.47
T0000199,P000021,2021-07-26,545.61
T0000200,P000021,2021-10-24,835.47
T0000201,P000021,2022-01-22,529.83
T0000202,P000021,2022-04-22,835.47
T0000203,P000021,2022-07-21,835.47
T0000204,P000021,2022-10-19,835.47
T0000205,P000021,2023-01-17,835.47
T0000206,P000021,2023-04-17,835.47
T0000207,P000022,2025-10-09,2931.51
T0000208,P000022,2025-11-08,2931.51
T0000209,P000022,2025-12-08,2931.51
T0000210,P000023,2025-11-06,1321.33
T0000211,P000023,2025-12-06,4139.02
T0000212,P000024,2025-12-17,4596.72
T0000213,P000025,2024-06-15,904.67
T0000214,P000025,2024-09-13,904.67
T0000215,P000025,2024-12-12,497.62
T0000216,P000025,2025-03-12,682.47
T0000217,P000025,2025-06-10,904.67
T0000218,P000025,2025-09-08,904.67
T0000219,P000025,2025-12-07,904.67
T0000220,P000026,2025-03-27,842.13
T0000221,P000026,2025-04-26,364.45
T0000222,P000026,2025-05-26,842.13
T0000223,P000026,2025-06-25,842.13
T0000224,P000026,2025-07-25,842.13
T0000225,P000026,2025-08-24,842.13
T0000226,P000026,2025-09-23,842.13
T0000227,P000026,2025-10-23,842.13
T0000228,P000026,2025-11-22,842.13
T0000229,P000027,2023-10-16,297.86
T0000230,P000027,2023-11-15,155.84
T0000231,P000027,2023-12-15,297.86
T0000232,P000027,2024-01-14,297.86
T0000233,P000027,2024-02-13,297.86
T0000234,P000027,2024-03-14,297.86
T0000235,P000027,2024-04-13,297.86
T0000236,P000027,2024-05-13,297.86
T0000237,P000027,2024-06-12,297.86
T0000238,P000027,2024-07-12,297.86
T0000239,P000027,2024-08-11,297.86
T0000240,P000027,2024-09-10,297.86
T0000241,P000027,2024-10-10,297.86
T0000242,P000027,2024-11-09,297.86
T0000243,P000027,2024-12-09,297.86
T0000244,P000027,2025-01-08,297.86
T0000245,P000027,2025-02-07,297.86
T0000246,P000027,2025-03-09,297.86
T0000247,P000027,2025-04-08,297.86
T0000248,P000027,2025-05-08,297.86
T0000249,P000027,2025-06-07,297.86
T0000250,P000027,2025-07-07,297.86
T0000251,P000027,2025-08-06,297.86
T0000252,P000027,2025-09-05,297.86
T0000253,P000027,2025-10-05,297.86
T0000254,P000027,2025-11-04,297.86
T0000255,P000027,2025-12-04,240.74
T0000256,P000028,2023-12-26,341.03
T0000257,P000028,2024-03-25,643.83
T0000258,P000028,2024-06-23,643.83
T0000259,P000028,2024-09-21,643.83
T0000260,P000028,2024-12-20,643.83
T0000261,P000028,2025-03-20,643.83
T0000262,P000028,2025-06-18,643.83
T0000263,P000028,2025-09-16,643.83
T0000264,P000028,2025-12-15,643.83
T0000265,P000029,2025-02-25,848.86
T0000266,P000029,2025-03-27,848.86
T0000267,P000029,2025-04-26,848.86
T0000268,P000029,2025-05-26,621.78
T0000269,P000029,2025-06-25,848.86
T0000270,P000029,2025-07-25,848.86
T0000271,P000029,2025-08-24,848.86
T0000272,P000029,2025-09-23,848.86
T0000273,P000029,2025-10-23,848.86
T0000274,P000029,2025-11-22,848.86
T0000275,P000030,2024-02-28,664.05
T0000276,P000030,2024-03-29,664.05
T0000277,P000030,2024-04-28,664.05
T0000278,P000030,2024-05-28,664.05
T0000279,P000030,2024-06-27,664.05
T0000280,P000030,2024-07-27,664.05
T0000281,P000030,2024-08-26,664.05
T0000282,P000030,2024-09-25,664.05
T0000283,P000030,2024-10-25,664.05
T0000284,P000031,2025-06-11,445.67
T0000285,P000031,2025-07-11,445.67
T0000286,P000031,2025-08-10,445.67
T0000287,P000031,2025-09-09,445.67
T0000288,P000031,2025-10-09,445.67
T0000289,P000031,2025-11-08,445.67
T0000290,P000031,2025-12-08,445.67
T0000291,P000032,2022-06-09,699.67
T0000292,P000032,2022-09-07,699.67
T0000293,P000032,2022-12-06,699.67
T0000294,P000032,2023-03-06,699.67
T0000295,P000032,2023-06-04,699.67
T0000296,P000032,2023-09-02,699.67
T0000297,P000032,2023-12-01,699.67
T0000298,P000032,2024-02-29,699.67
T0000299,P000032,2024-05-29,699.67
T0000300,P000032,2024-08-27,699.67
T0000301,P000033,2023-12-25,494.59
T0000302,P000033,2024-01-24,494.59
T0000303,P000033,2024-02-23,494.59
T0000304,P000033,2024-03-24,494.59
T0000305,P000033,2024-04-23,494.59
T0000306,P000033,2024-05-23,494.59
T0000307,P000033,2024-06-22,494.59
T0000308,P000034,2023-02-19,1080.66
T0000309,P000034,2023-05-20,1080.66
T0000310,P000034,2023-08-18,1080.66
T0000311,P000034,2023-11-16,1080.66
T0000312,P000034,2024-02-14,1080.66
T0000313,P000034,2024-05-14,1080.66
T0000314,P000034,2024-08-12,1080.66
T0000315,P000034,2024-11-10,1080.66
T0000316,P000034,2025-02-08,1080.66
T0000317,P000035,2025-10-15,875.94
T0000318,P000035,2025-11-14,875.94
T0000319,P000035,2025-12-14,875.94
T0000320,P000036,2025-07-13,459.19
T0000321,P000036,2025-10-11,459.19
T0000322,P000037,2025-09-10,308.18
T0000323,P000037,2025-10-10,674.76
T0000324,P000037,2025-11-09,674.76
T0000325,P000037,2025-12-09,674.76
T0000326,P000038,2025-09-06,2059.84
T0000327,P000038,2025-10-06,2059.84
T0000328,P000038,2025-11-05,2059.84
T0000329,P000038,2025-12-05,2059.84
T0000330,P000039,2024-08-20,567.15
T0000331,P000039,2024-09-19,567.15
T0000332,P000039,2024-10-19,567.15
T0000333,P000039,2024-11-18,567.15
T0000334,P000039,2024-12-18,567.15
T0000335,P000039,2025-01-17,567.15
T0000336,P000039,2025-02-16,567.15
T0000337,P000039,2025-03-18,567.15
T0000338,P000039,2025-04-17,567.15
T0000339,P000039,2025-05-17,567.15
T0000340,P000039,2025-06-16,567.15
T0000341,P000039,2025-07-16,567.15
T0000342,P000039,2025-08-15,567.15
T0000343,P000039,2025-09-14,567.15
T0000344,P000039,2025-10-14,567.15
T0000345,P000039,2025-11-13,567.15
T0000346,P000039,2025-12-13,567.15
T0000347,P000040,2023-01-17,233.4
T0000348,P000040,2023-02-16,509.9
T0000349,P000040,2023-03-18,509.9
T0000350,P000040,2023-04-17,509.9
T0000351,P000040,2023-05-17,163.91
T0000352,P000040,2023-06-16,509.9
T0000353,P000040,2023-07-16,509.9
T0000354,P000040,2023-08-15,509.9
T0000355,P000040,2023-09-14,368.48
T0000356,P000040,2023-10-14,509.9
T0000357,P000040,2023-11-13,303.53
T0000358,P000041,2022-10-25,262.96
T0000359,P000041,2022-11-24,262.96
T0000360,P000041,2022-12-24,262.96
T0000361,P000041,2023-01-23,262.96
T0000362,P000041,2023-02-22,262.96
T0000363,P000041,2023-03-24,262.96
T0000364,P000041,2023-04-23,262.96
T0000365,P000041,2023-05-23,262.96
T0000366,P000041,2023-06-22,262.96
T0000367,P000041,2023-07-22,262.96
T0000368,P000041,2023-08-21,262.96
T0000369,P000041,2023-09-20,262.96
T0000370,P000041,2023-10-20,262.96
T0000371,P000041,2023-11-19,262.96
T0000372,P000041,2023-12-19,262.96
T0000373,P000041,2024-01-18,262.96
T0000374,P000041,2024-02-17,262.96
T0000375,P000041,2024-03-18,262.96
T0000376,P000041,2024-04-17,262.96
T0000377,P000041,2024-05-17,262.96
T0000378,P000041,2024-06-16,262.96
T0000379,P000041,2024-07-16,262.96
T0000380,P000042,2022-01-25,121.14
T0000381,P000042,2022-02-24,121.14
T0000382,P000042,2022-03-26,121.14
T0000383,P000042,2022-04-25,121.14
T0000384,P000042,2022-05-25,121.14
T0000385,P000042,2022-06-24,121.14
T0000386,P000042,2022-07-24,121.14
T0000387,P000042,2022-08-23,121.14
T0000388,P000042,2022-09-22,121.14
T0000389,P000042,2022-10-22,121.14
T0000390,P000042,2022-11-21,121.14
T0000391,P000042,2022-12-21,121.14
T0000392,P000042,2023-01-20,121.14
T0000393,P000042,2023-02-19,121.14
T0000394,P000042,2023-03-21,121.14
T0000395,P000042,2023-04-20,121.14
T0000396,P000042,2023-05-20,121.14
T0000397,P000042,2023-06-19,121.14
T0000398,P000042,2023-07-19,121.14
T0000399,P000042,2023-08-18,121.14
T0000400,P000042,2023-09-17,121.14
T0000401,P000042,2023-10-17,121.14
T0000402,P000042,2023-11-16,121.14
T0000403,P000042,2023-12-16,121.14
T0000404,P000042,2024-01-15,121.14
T0000405,P000042,2024-02-14,121.14
T0000406,P000042,2024-03-15,121.14
T0000407,P000042,2024-04-14,121.14
T0000408,P000042,2024-05-14,121.14
T0000409,P000042,2024-06-13,121.14
T0000410,P000042,2024-07-13,121.14
T0000411,P000042,2024-08-12,121.14
T0000412,P000042,2024-09-11,121.14
T0000413,P000042,2024-10-11,121.14
T0000414,P000042,2024-11-10,121.14
T0000415,P000042,2024-12-10,121.14
T0000416,P000042,2025-01-09,121.14
T0000417,P000043,2025-11-13,1496.13
T0000418,P000043,2025-12-13,1496.13
T0000419,P000044,2020-07-05,114.07
T0000420,P000044,2020-08-04,114.07
T0000421,P000044,2020-09-03,114.07
T0000422,P000044,2020-10-03,114.07
T0000423,P000044,2020-11-02,114.07
T0000424,P000044,2020-12-02,114.07
T0000425,P000044,2021-01-01,114.07
T0000426,P000044,2021-01-31,114.07
T0000427,P000044,2021-03-02,114.07
T0000428,P000044,2021-04-01,114.07
T0000429,P000044,2021-05-01,114.07
T0000430,P000044,2021-05-31,114.07
T0000431,P000044,2021-06-30,114.07
T0000432,P000044,2021-07-30,114.07
T0000433,P000044,2021-08-29,114.07
T0000434,P000044,2021-09-28,40.67
T0000435,P000044,2021-10-28,114.07
T0000436,P000044,2021-11-27,114.07
T0000437,P000044,2021-12-27,114.07
T0000438,P000044,2022-01-26,114.07
T0000439,P000044,2022-02-25,114.07
T0000440,P000044,2022-03-27,114.07
T0000441,P000044,2022-04-26,114.07
T0000442,P000044,2022-05-26,85.84
T0000443,P000044,2022-06-25,114.07
T0000444,P000044,2022-07-25,35.62
T0000445,P000044,2022-08-24,114.07
T0000446,P000044,2022-09-23,114.07
T0000447,P000044,2022-10-23,114.07
T0000448,P000044,2022-11-22,114.07
T0000449,P000044,2022-12-22,114.07
T0000450,P000044,2023-01-21,114.07
T0000451,P000044,2023-02-20,114.07
T0000452,P000044,2023-03-22,114.07
T0000453,P000044,2023-04-21,114.07
T0000454,P000044,2023-05-21,114.07
T0000455,P000045,2024-12-14,69.92
T0000456,P000045,2025-01-13,69.92
T0000457,P000045,2025-02-12,69.92
T0000458,P000045,2025-03-14,69.92
T0000459,P000045,2025-04-13,69.92
T0000460,P000045,2025-05-13,69.92
T0000461,P000045,2025-06-12,69.92
T0000462,P000045,2025-07-12,69.92
T0000463,P000045,2025-08-11,69.92
T0000464,P000045,2025-09-10,69.92
T0000465,P000045,2025-10-10,69.92
T0000466,P000045,2025-11-09,69.92
T0000467,P000045,2025-12-09,69.92
T0000468,P000046,2025-09-22,4717.09
T0000469,P000047,2025-11-07,576.56
T0000470,P000048,2023-08-17,288.79
T0000471,P000048,2023-09-16,288.79
T0000472,P000048,2023-10-16,288.79
T0000473,P000048,2023-11-15,288.79
T0000474,P000048,2023-12-15,288.79
T0000475,P000048,2024-01-14,288.79
T0000476,P000048,2024-02-13,288.79
T0000477,P000048,2024-03-14,288.79
T0000478,P000048,2024-04-13,288.79
T0000479,P000048,2024-05-13,288.79
T0000480,P000048,2024-06-12,288.79
T0000481,P000048,2024-07-12,288.79
T0000482,P000048,2024-08-11,288.79
T0000483,P000048,2024-09-10,288.79
T0000484,P000048,2024-10-10,288.79
T0000485,P000048,2024-11-09,288.79
T0000486,P000048,2024-12-09,228.91
T0000487,P000048,2025-01-08,288.79
T0000488,P000048,2025-02-07,288.79
T0000489,P000048,2025-03-09,288.79
T0000490,P000048,2025-04-08,288.79
T0000491,P000048,2025-05-08,288.79
T0000492,P000048,2025-06-07,288.79
T0000493,P000048,2025-07-07,288.79
T0000494,P000048,2025-08-06,288.79
T0000495,P000048,2025-09-05,288.79
T0000496,P000048,2025-10-05,288.79
T0000497,P000049,2024-06-01,151.07
T0000498,P000049,2024-07-01,151.07
T0000499,P000049,2024-07-31,151.07
T0000500,P000049,2024-08-30,151.07
T0000501,P000049,2024-09-29,151.07
T0000502,P000049,2024-10-29,151.07
T0000503,P000049,2024-11-28,151.07
T0000504,P000049,2024-12-28,151.07
T0000505,P000049,2025-01-27,151.07
T0000506,P000049,2025-02-26,151.07
T0000507,P000049,2025-03-28,151.07
T0000508,P000049,2025-04-27,151.07
T0000509,P000049,2025-05-27,151.07
T0000510,P000049,2025-06-26,151.07
T0000511,P000049,2025-07-26,151.07
T0000512,P000049,2025-08-25,151.07
T0000513,P000049,2025-09-24,151.07
T0000514,P000049,2025-10-24,151.07
T0000515,P000049,2025-11-23,151.07
T0000516,P000050,2025-11-29,5943.9
T0000517,P000051,2025-11-20,4185.32
T0000518,P000051,2025-12-20,4185.32
T0000519,P000052,2025-12-14,2722.02
T0000520,P000053,2025-04-14,3164.73
T0000521,P000053,2025-07-13,1390.59
T0000522,P000053,2025-10-11,3164.73
T0000523,P000054,2025-06-13,688.12
T0000524,P000054,2025-07-13,688.12
T0000525,P000054,2025-08-12,688.12
T0000526,P000054,2025-09-11,688.12
T0000527,P000054,2025-10-11,688.12
T0000528,P000054,2025-11-10,688.12
T0000529,P000054,2025-12-10,688.12
T0000530,P000055,2023-09-02,397.96
T0000531,P000055,2023-10-02,397.96
T0000532,P000055,2023-11-01,397.96
T0000533,P000055,2023-12-01,397.96
T0000534,P000055,2023-12-31,397.96
T0000535,P000055,2024-01-30,397.96
T0000536,P000055,2024-02-29,397.96
T0000537,P000055,2024-03-30,397.96
T0000538,P000055,2024-04-29,397.96
T0000539,P000055,2024-05-29,397.96
T0000540,P000055,2024-06-28,397.96
T0000541,P000055,2024-07-28,397.96
T0000542,P000055,2024-08-27,128.81
T0000543,P000055,2024-09-26,397.96
T0000544,P000055,2024-10-26,397.96
T0000545,P000055,2024-11-25,397.96
T0000546,P000055,2024-12-25,397.96
T0000547,P000056,2025-03-26,388.71
T0000548,P000056,2025-04-25,1046.23
T0000549,P000056,2025-05-25,1046.23
T0000550,P000056,2025-06-24,1046.23
T0000551,P000056,2025-07-24,1046.23
T0000552,P000056,2025-08-23,1046.23
T0000553,P000056,2025-09-22,1046.23
T0000554,P000056,2025-10-22,1046.23
T0000555,P000056,2025-11-21,1046.23
T0000556,P000057,2021-11-17,310.78
T0000557,P000057,2021-12-17,310.78
T0000558,P000057,2022-01-16,198.99
T0000559,P000057,2022-02-15,310.78
T0000560,P000057,2022-03-17,310.78
T0000561,P000057,2022-04-16,310.78
T0000562,P000057,2022-05-16,310.78
T0000563,P000057,2022-06-15,310.78
T0000564,P000057,2022-07-15,310.78
T0000565,P000057,2022-08-14,310.78
T0000566,P000057,2022-09-13,310.78
T0000567,P000058,2023-04-28,288.88
T0000568,P000058,2023-05-28,92.18
T0000569,P000058,2023-06-27,288.88
T0000570,P000058,2023-07-27,288.88
T0000571,P000058,2023-08-26,288.88
T0000572,P000058,2023-09-25,288.88
T0000573,P000058,2023-10-25,288.88
T0000574,P000059,2022-03-13,363.21
T0000575,P000059,2022-04-12,424.92
T0000576,P000059,2022-05-12,424.92
T0000577,P000059,2022-06-11,424.92
T0000578,P000059,2022-07-11,424.92
T0000579,P000059,2022-08-10,424.92
T0000580,P000059,2022-09-09,424.92
T0000581,P000059,2022-10-09,424.92
T0000582,P000059,2022-11-08,424.92
T0000583,P000059,2022-12-08,424.92
T0000584,P000059,2023-01-07,424.92
T0000585,P000059,2023-02-06,424.92
T0000586,P000059,2023-03-08,424.92
T0000587,P000059,2023-04-07,424.92
T0000588,P000059,2023-05-07,424.92
T0000589,P000059,2023-06-06,424.92
T0000590,P000059,2023-07-06,424.92
T0000591,P000059,2023-08-05,424.92
T0000592,P000059,2023-09-04,424.92
T0000593,P000060,2025-03-27,110.86
T0000594,P000060,2025-04-26,110.86
T0000595,P000060,2025-05-26,110.86
T0000596,P000060,2025-06-25,110.86
T0000597,P000060,2025-07-25,110.86
T0000598,P000060,2025-08-24,110.86
T0000599,P000060,2025-09-23,110.86
T0000600,P000060,2025-10-23,110.86
T0000601,P000060,2025-11-22,110.86
T0000602,P000061,2025-04-18,153.71
T0000603,P000061,2025-05-18,153.71
T0000604,P000061,2025-06-17,153.71
T0000605,P000061,2025-07-17,153.71
T0000606,P000061,2025-08-16,153.71
T0000607,P000061,2025-09-15,153.71
T0000608,P000061,2025-10-15,153.71
T0000609,P000061,2025-11-14,153.71
T0000610,P000062,2022-12-07,484.82
T0000611,P000062,2023-03-07,484.82
T0000612,P000062,2023-06-05,484.82
T0000613,P000062,2023-09-03,484.82
T0000614,P000062,2023-12-02,484.82
T0000615,P000062,2024-03-01,484.82
T0000616,P000062,2024-05-30,484.82
T0000617,P000063,2023-08-28,930.14
T0000618,P000063,2023-11-26,930.14
T0000619,P000063,2024-02-24,930.14
T0000620,P000063,2024-05-24,930.14
T0000621,P000063,2024-08-22,930.14
T0000622,P000063,2024-11-20,930.14
T0000623,P000063,2025-02-18,930.14
T0000624,P000063,2025-05-19,930.14
T0000625,P000063,2025-08-17,930.14
T0000626,P000063,2025-11-15,930.14
T0000627,P000064,2024-02-14,109.28
T0000628,P000064,2024-03-15,109.28
T0000629,P000064,2024-04-14,109.28
T0000630,P000064,2024-05-14,109.28
T0000631,P000064,2024-06-13,89.04
T0000632,P000064,2024-07-13,109.28
T0000633,P000064,2024-08-12,109.28
T0000634,P000064,2024-09-11,109.28
T0000635,P000065,2025-04-16,1054.91
T0000636,P000065,2025-05-16,1054.91
T0000637,P000065,2025-06-15,1054.91
T0000638,P000065,2025-07-15,1054.91
T0000639,P000065,2025-08-14,1054.91
T0000640,P000065,2025-09-13,1054.91
T0000641,P000065,2025-10-13,878.97
T0000642,P000065,2025-11-12,1054.91
T0000643,P000065,2025-12-12,1054.91
T0000644,P000066,2025-01-22,507.45
T0000645,P000066,2025-02-21,507.45
T0000646,P000066,2025-03-23,507.45
T0000647,P000066,2025-04-22,507.45
T0000648,P000066,2025-05-22,507.45
T0000649,P000066,2025-06-21,507.45
T0000650,P000066,2025-07-21,507.45
T0000651,P000066,2025-08-20,507.45
T0000652,P000066,2025-09-19,507.45
T0000653,P000066,2025-10-19,507.45
T0000654,P000066,2025-11-18,507.45
T0000655,P000066,2025-12-18,507.45
T0000656,P000067,2024-11-11,77.71
T0000657,P000067,2024-12-11,77.71
T0000658,P000067,2025-01-10,77.71
T0000659,P000067,2025-02-09,77.71
T0000660,P000067,2025-03-11,77.71
T0000661,P000067,2025-04-10,77.71
T0000662,P000067,2025-05-10,77.71
T0000663,P000067,2025-06-09,25.79
T0000664,P000067,2025-07-09,77.71
T0000665,P000067,2025-08-08,77.71
T0000666,P000067,2025-09-07,77.71
T0000667,P000067,2025-10-07,77.71
T0000668,P000067,2025-11-06,77.71
T0000669,P000067,2025-12-06,77.71
T0000670,P000068,2023-07-03,1516.05
T0000671,P000068,2023-10-01,1516.05
T0000672,P000068,2023-12-30,1516.05
T0000673,P000069,2023-11-15,219.78
T0000674,P000069,2023-12-15,502.4
T0000675,P000069,2024-01-14,502.4
T0000676,P000069,2024-02-13,502.4
T0000677,P000069,2024-03-14,502.4
T0000678,P000069,2024-04-13,502.4
T0000679,P000069,2024-05-13,502.4
T0000680,P000070,2022-02-25,56.43
T0000681,P000070,2022-03-27,56.43
T0000682,P000070,2022-04-26,56.43
T0000683,P000070,2022-05-26,56.43
T0000684,P000070,2022-06-25,56.43
T0000685,P000070,2022-07-25,56.43
T0000686,P000070,2022-08-24,56.43
T0000687,P000070,2022-09-23,56.43
T0000688,P000070,2022-10-23,56.43
T0000689,P000070,2022-11-22,56.43
T0000690,P000070,2022-12-22,56.43
T0000691,P000070,2023-01-21,56.43
T0000692,P000070,2023-02-20,56.43
T0000693,P000070,2023-03-22,56.43
